timer	TimeStampUTC	Longitude	Latitude	Altitude	horAccuracy	verAccuracy
317095	1266801158671	-122.159604083	47.771364833	25.000000000	47.421633550	70.281001376
317618	1266801160775	-122.159601550	47.771334783	24.000000000	47.421633550	70.281001376
318137	1266801160775	-122.159601550	47.771334783	24.000000000	47.421633550	70.281001376
318643	1266801160775	-122.159601550	47.771334783	24.000000000	47.421633550	70.281001376
319152	1266801160775	-122.159601550	47.771334783	24.000000000	47.421633550	70.281001376
319668	1266801162900	-122.159601550	47.771334783	24.000000000	47.421633550	70.281001376
320178	1266801162900	-122.159601550	47.771334783	24.000000000	47.421633550	70.281001376
320685	1266801162900	-122.159601550	47.771334783	24.000000000	47.421633550	70.281001376
321190	1266801162900	-122.159601550	47.771334783	24.000000000	47.421633550	70.281001376
321701	1266801165030	-122.159601550	47.771334783	24.000000000	47.421633550	70.281001376
322206	1266801165728	-122.159601550	47.771334783	24.000000000	47.421633550	70.281001376
322716	1266801165729	-122.159601550	47.771334783	24.000000000	47.421633550	70.281001376
324338	1266801167853	-122.159601550	47.771334783	24.000000000	47.421633550	70.281001376
324854	1266801167853	-122.159601550	47.771334783	24.000000000	47.421633550	70.281001376
325359	1266801167853	-122.159601550	47.771334783	24.000000000	47.421633550	70.281001376
325876	1266801167853	-122.159601550	47.771334783	24.000000000	47.421633550	70.281001376
326400	1266801167853	-122.159601550	47.771334783	24.000000000	47.421633550	70.281001376
326908	1266801169976	-122.159611050	47.771233200	25.000000000	47.421633550	70.281001376
327422	1266801169976	-122.159611050	47.771233200	25.000000000	47.421633550	70.281001376
327944	1266801169976	-122.159611050	47.771233200	25.000000000	47.421633550	70.281001376
328451	1266801169976	-122.159611050	47.771233200	25.000000000	47.421633550	70.281001376
328958	1266801172089	-122.159611900	47.771213650	25.000000000	47.421633550	70.281001376
329475	1266801172091	-122.159611900	47.771213650	25.000000000	47.421633550	70.281001376
329976	1266801172091	-122.159611900	47.771213650	25.000000000	47.421633550	70.281001376
330487	1266801172091	-122.159611900	47.771213650	25.000000000	47.421633550	70.281001376
331006	1266801174181	-122.159611900	47.771213650	25.000000000	47.421633550	70.281001376
331528	1266801174884	-122.159611900	47.771213650	25.000000000	47.421633550	70.281001376
332046	1266801174885	-122.159611900	47.771213650	25.000000000	47.421633550	70.281001376
332553	1266801174885	-122.159611900	47.771213650	25.000000000	47.421633550	70.281001376
333064	1266801176245	-122.159611900	47.771213650	25.000000000	47.421633550	70.281001376
333812	1266801176246	-122.159611900	47.771213650	25.000000000	47.421633550	70.281001376
334450	1266801177656	-122.159611900	47.771213650	25.000000000	47.421633550	70.281001376
334976	1266801177656	-122.159611900	47.771213650	25.000000000	47.421633550	70.281001376
335507	1266801179018	-122.159611900	47.771213650	25.000000000	47.421633550	70.281001376
336250	1266801179018	-122.159611900	47.771213650	25.000000000	47.421633550	70.281001376
336883	1266801179757	-122.159611900	47.771213650	25.000000000	76.356885915	113.175756568
337401	1266801179757	-122.159611900	47.771213650	25.000000000	76.356885915	113.175756568
337913	1266801179757	-122.159611900	47.771213650	25.000000000	76.356885915	113.175756568
338416	1266801181805	-122.159611900	47.771213650	25.000000000	47.421633550	70.281001376
338921	1266801181807	-122.159611900	47.771213650	25.000000000	47.421633550	70.281001376
339432	1266801182525	-122.159611900	47.771213650	25.000000000	47.421633550	70.281001376
339957	1266801183249	-122.159611900	47.771213650	25.000000000	47.421633550	70.281001376
340460	1266801183893	-122.159611900	47.771213650	25.000000000	47.421633550	70.281001376
345809	1266801188365	-122.159611900	47.771213650	25.000000000	47.421633550	70.281001376
347125	1266801189689	-122.159611900	47.771213650	25.000000000	47.421633550	70.281001376
347809	1266801191062	-122.159611900	47.771213650	25.000000000	47.421633550	70.281001376
348491	1266801191774	-122.159611900	47.771213650	25.000000000	47.421633550	70.281001376
349175	1266801192461	-122.159611900	47.771213650	25.000000000	47.421633550	70.281001376
349865	1266801193154	-122.159611900	47.771213650	25.000000000	47.421633550	70.281001376
350542	1266801193874	-122.159611900	47.771213650	25.000000000	47.421633550	70.281001376
351221	1266801194550	-122.159611900	47.771213650	25.000000000	47.421633550	70.281001376
351903	1266801195254	-122.159611900	47.771213650	25.000000000	47.421633550	70.281001376
352593	1266801195988	-122.159598350	47.771128467	26.000000000	47.421633550	70.281001376
353277	1266801195990	-122.159598350	47.771128467	26.000000000	47.421633550	70.281001376
353951	1266801195990	-122.159598350	47.771128467	26.000000000	47.421633550	70.281001376
354631	1266801198085	-122.159619500	47.771126667	26.000000000	47.421633550	70.281001376
355320	1266801198787	-122.159619500	47.771126667	26.000000000	47.421633550	70.281001376
356001	1266801198788	-122.159619500	47.771126667	26.000000000	47.421633550	70.281001376
356694	1266801200146	-122.159619500	47.771126667	26.000000000	47.421633550	70.281001376
357369	1266801200870	-122.159619500	47.771126667	26.000000000	17.068495254	23.164149319
358040	1266801200870	-122.159619500	47.771126667	26.000000000	17.068495254	23.164149319
358713	1266801200870	-122.159619500	47.771126667	26.000000000	17.068495254	23.164149319
359392	1266801200870	-122.159619500	47.771126667	26.000000000	17.068495254	23.164149319
360078	1266801200870	-122.159619500	47.771126667	26.000000000	17.068495254	23.164149319
360756	1266801203696	-122.159762550	47.771120867	26.000000000	17.068495254	23.164149319
361435	1266801204388	-122.159785300	47.771120283	26.000000000	17.068495254	23.164149319
362121	1266801205068	-122.159785300	47.771120283	26.000000000	17.068495254	23.164149319
362823	1266801205811	-122.159826850	47.771119350	26.000000000	17.068495254	23.164149319
363496	1266801206486	-122.159847583	47.771119117	26.000000000	17.068495254	23.164149319
364204	1266801207180	-122.159847583	47.771119117	26.000000000	47.421633550	70.281001376
364891	1266801207900	-122.159885017	47.771118067	25.000000000	17.068495254	23.164149319
365575	1266801209089	-122.159912100	47.771118000	25.000000000	17.068495254	23.164149319
366395	1266801209747	-122.159928417	47.771117617	25.000000000	17.068495254	23.164149319
367071	1266801210424	-122.159943783	47.771116950	25.000000000	17.068495254	23.164149319
367749	1266801210426	-122.159943783	47.771116950	25.000000000	17.068495254	23.164149319
368453	1266801211337	-122.159964717	47.771116400	25.000000000	17.068495254	23.164149319
369142	1266801212049	-122.159964717	47.771116400	25.000000000	47.421633550	70.281001376
369820	1266801212926	-122.159964717	47.771116400	25.000000000	47.421633550	23.164149319
370490	1266801213626	-122.159964717	47.771116400	25.000000000	47.421633550	70.281001376
371186	1266801214375	-122.160032900	47.771115167	26.000000000	17.068495254	23.164149319
371872	1266801215060	-122.160048667	47.771115367	26.000000000	17.068495254	23.164149319
372553	1266801215745	-122.160048667	47.771115367	26.000000000	17.068495254	23.164149319
